player,height_no_shoes
Zhou Qi,85.25
Jakob Poeltl,84.25
Thon Maker,83.75
Skal Labissiere,82.5
Stephen Zimmerman,82.25
Damian Jones,82.25
Henry Ellenson,82
Deyonta Davis,81.25
Diamond Stone,81
Brice Johnson,81
Chinanu Onuaku,81
Marquese Chriss,80.75
Pascal Siakam,80.25
Jake Layman,80
Cheick Diallo,79.5
Joel Bolomboy,79.5
Ben Bentil,79.25
Georges Niang,78.75
Taurean Prince,78.5
Daniel Hamilton,78.25
Caris LeVert,77.75
Michael Gbinije,77.5
Patrick McCaw,77.25
Jaylen Brown,77.25
Malachi Richardson,76.75
DeAndre Bembry,76.25
Denzel Valentine,76
Buddy Hield,75.75
Malcolm Brogdon,75.75
Malik Beasley,75.5
Isaiah Whitehead,75.25
Isaiah Cousins,75.25
Kris Dunn,75
Wade Baldwin,74.5
Marcus Paige,72.5
Demetrius Jackson,72
Tyler Ulis,68.75
Kay Felder,68.25
